Date,Close,High,Low,Open,Volume
02-01-20,72.71606445,72.77659056,71.46680475,71.72101144,135480400
03-01-20,72.00913239,72.77176001,71.783977,71.94134343,146322800
06-01-20,72.58291626,72.62165386,70.87608272,71.12787344,118387200
07-01-20,72.24156189,72.84923913,72.02124592,72.59260897,108872000
08-01-20,73.40362549,73.70625595,71.94373641,71.94373641,132079200
09-01-20,74.9628067,75.15648732,74.13239016,74.38417348,170108400
10-01-20,75.13225555,75.69878635,74.62868165,75.19762847,140644800
13-01-20,76.73743439,76.76406972,75.33080794,75.44944416,121532000
14-01-20,75.70119476,76.88508871,75.57772656,76.67445909,161954400
15-01-20,75.37679291,76.38394823,74.94342391,75.50026853,121923600
16-01-20,76.3210144,76.43238779,75.55838677,75.92154349,108829200
17-01-20,77.16594696,77.16836298,76.26289478,76.57036475,137816400
21-01-20,76.64299774,77.23614914,76.50499645,76.7931013,110843200
22-01-20,76.91659546,77.47100939,76.82217117,77.12964119,101832400
23-01-20,77.28701019,77.36690141,76.42027208,76.96985394,104472000
24-01-20,77.06425476,78.27961625,76.87299021,77.53393791,146537600
27-01-20,74.79817963,75.48090862,73.81281265,75.06691204,161940000
28-01-20,76.91416168,77.08605377,75.58258724,75.68185094,162234000
29-01-20,78.52415466,79.37394363,77.80752758,78.55078999,216229200
30-01-20,78.41033936,78.46360261,77.17076619,77.60413507,126743200
31-01-20,74.93374634,78.12225762,74.63837863,77.69857486,199588400
03-02-20,74.72796631,75.89732764,73.16881294,73.67238698,173788400
04-02-20,77.19499969,77.38626427,75.93121426,76.33794794,136616400
05-02-20,77.82445526,78.62582016,77.21919432,78.32560571,118826800
06-02-20,78.73479462,78.73721803,77.53638189,78.09564264,105425600
07-02-20,77.66457367,78.48240086,77.17193551,78.23244174,117684000
10-02-20,78.03343201,78.03343201,76.16480809,76.2448889,109348800
11-02-20,77.56262207,78.60371693,77.34421248,78.5309162,94323200
12-02-20,79.40457916,79.40943008,78.0140257,78.0140257,113730400
13-02-20,78.83912659,79.16674472,78.47025717,78.67410664,94747600
14-02-20,78.85855865,79.10851777,78.34893118,78.80759072,80113600
18-02-20,77.41460419,77.59661344,76.34923978,76.53124904,152531200
19-02-20,78.53578186,78.76632989,77.65728501,77.65728501,93984000
20-02-20,77.73010254,78.78575797,77.22290418,78.29554892,100566000
21-02-20,75.97067261,77.76650348,75.351844,77.32239667,129554000
24-02-20,72.36203766,73.81811196,70.1900646,72.13877708,222195200
25-02-20,69.91098022,73.4176956,69.4377605,73.03426594,230673600
26-02-20,71.02000427,72.28921804,69.52752998,69.53481005,198054800
27-02-20,66.37757111,69.40620832,66.24167143,68.21708245,320605600
28-02-20,66.33872986,67.56426329,62.2156159,62.43160377,426510000
02-03-20,72.5149231,73.15317015,67.39682305,68.50343887,341397200
03-03-20,70.2118988,73.77442519,69.35766388,73.69434437,319475600
04-03-20,73.46862793,73.62879694,71.13648662,71.9397534,219178400
05-03-20,71.08554077,72.69449643,70.71909309,71.71650029,187572800
06-03-20,70.14154053,70.57593819,68.24864649,68.43550674,226176800
09-03-20,64.5938797,67.48660955,63.82458393,64.0065932,286744800
10-03-20,69.24602509,69.51297347,65.37044115,67.25606173,285290000
11-03-20,66.84107208,68.2461855,65.97470632,67.31672823,255598800
12-03-20,60.2402153,65.52333888,60.18440016,62.11127227,418474000
13-03-20,67.45748138,67.93070839,61.38565182,64.28324335,370732000
16-03-20,58.77928925,62.87327958,58.24296696,58.71619033,322423600
17-03-20,61.36381149,62.51653303,57.85467156,60.06547737,324056000
18-03-20,59.8616333,60.66975488,57.54404792,58.18714955,300233600
19-03-20,59.40296555,61.3589577,58.87635256,60.03635789,271857200
20-03-20,55.63175201,61.11387138,55.33082863,59.98541147,401693200
23-03-20,54.44988632,55.45215178,51.5959826,55.35022705,336752800
24-03-20,59.91260147,60.1091709,56.85969876,57.35961698,287531200
25-03-20,59.58255005,62.67185273,59.28648137,60.8517602,303602000
26-03-20,62.71796799,62.77620858,59.78640491,59.82523445,252087200
27-03-20,60.12129593,62.09427365,59.95384683,61.33711637,204216800
30-03-20,61.83703232,62.00933603,60.5241381,60.84933076,167976400
31-03-20,61.71084595,63.70081316,61.15511262,62.02875857,197002000
01-04-20,58.46380234,60.35912485,58.03183399,59.82037714,176218400
02-04-20,59.4393692,59.49275888,57.49065701,58.32547341,165934000
03-04-20,58.58514404,59.62623543,57.99300663,58.92246774,129880000
06-04-20,63.695961,63.85127172,60.5192936,60.88816303,201820400
07-04-20,62.95820999,65.935886,62.8538598,65.71746898,202887200
08-04-20,64.56959534,64.88507504,63.39503001,63.76147022,168895200
09-04-20,65.03553009,65.54030646,64.23712167,65.20783748,161834800
13-04-20,66.31204987,66.4212584,64.51136807,65.11321478,131022800
14-04-20,69.66100311,69.95222087,67.47689214,67.95011915,194994800
15-04-20,69.02519989,69.4862886,68.10302247,68.53256172,131154400
16-04-20,69.57365417,69.94010189,68.52042804,69.7411033,157125200
17-04-20,68.6296463,69.63677049,67.18813186,69.08831335,215250000
20-04-20,67.20511627,68.35784191,67.1857052,67.45265367,130015200
21-04-20,65.1277771,67.2827683,64.41430008,67.04736932,180991600
22-04-20,67.00367737,67.44049663,66.05723069,66.39940159,116862400
23-04-20,66.7440033,68.37480643,66.70517377,66.94785276,124814400
24-04-20,68.67089081,68.68060004,67.22209659,67.27063536,126161200
27-04-20,68.71942902,69.05189813,67.93800219,68.3869525,117087600
28-04-20,67.60552216,69.36494516,67.51331034,69.18293588,112004800
