Date,Close,High,Low,Open,Volume,sma_20,ema_20,rsi_14,bollinger_upper,bollinger_lower
2020-01-04,58.46380234,60.35912485,58.03183399,59.82037714,176218400,,58.46380234,,,
2020-01-05,70.15122986,72.56103088,69.36980308,69.46687321,240616800,,59.5768906752381,,,
2020-01-06,78.31768036,78.43934834,77.18859794,77.32000144,80791200,,61.361727788072564,,,
2020-01-07,88.60105133,89.39189319,88.5523886,88.84682302,110737200,,63.955949077779934,,,
2020-01-09,130.8387146,131.4432858,127.2796109,129.4540765,151948100,,70.32573627037232,,,
2020-01-10,113.8817673,114.7886093,112.9456735,114.7105996,116120400,,74.47392970176543,,,
2020-01-12,119.8705673,120.6031531,117.2234917,118.2002727,127728200,,78.79741899683539,,,
2020-01-13,76.73743439,76.76406972,75.33080794,75.44944416,121532000,,78.60122998666058,,,
2020-01-14,75.70119476,76.88508871,75.57772656,76.67445909,161954400,,78.32503615555005,,,
2020-01-15,75.37679291,76.38394823,74.94342391,75.50026853,121923600,,78.0442510845453,,,
2020-01-16,76.3210144,76.43238779,75.55838677,75.92154349,108829200,,77.88013330506479,,,
2020-01-17,77.16594696,77.16836298,76.26289478,76.57036475,137816400,,77.81211555791577,,,
2020-01-21,76.64299774,77.23614914,76.50499645,76.7931013,110843200,,77.70077100382855,,,
2020-01-22,76.91659546,77.47100939,76.82217117,77.12964119,101832400,,77.62608761870202,,,
2020-01-23,77.28701019,77.36690141,76.42027208,76.96985394,104472000,,77.5937945302542,56.592118575402274,,
2020-01-24,77.06425476,78.27961625,76.87299021,77.53393791,146537600,,77.54336217118237,52.632412587847845,,
2020-01-27,74.79817963,75.48090862,73.81281265,75.06691204,161940000,,77.28191621487929,48.59675186974398,,
2020-01-28,76.91416168,77.08605377,75.58258724,75.68185094,162234000,,77.24689197346221,45.01574644881425,,
2020-01-29,78.52415466,79.37394363,77.80752758,78.55078999,216229200,,77.36853603884676,15.856769722634269,,
2020-01-30,78.41033936,78.46360261,77.17076619,77.60413507,126743200,82.8992444995,77.4677554027661,20.325394143966065,118.26744406943521,47.53104492956479
2020-01-31,74.93374634,78.12225762,74.63837863,77.69857486,199588400,83.7227416995,77.22642120631218,10.75736676305489,117.42301717399397,50.022466225006035
2020-02-01,72.71606445,72.77659056,71.46680475,71.72101144,135480400,83.850983429,76.79686341999674,37.69444510235313,117.35274390170846,50.349222956291534
2020-02-03,72.5149231,73.15317015,67.39682305,68.50343887,341397200,83.560845566,76.38905957999705,39.72472374234038,117.36353311564338,49.758158016356624
2020-02-04,59.4393692,59.49275888,57.49065701,58.32547341,165934000,82.10276145949999,74.77480335333067,21.797867525081173,117.46963495552686,46.73588796347311
2020-02-06,78.68025208,78.70458716,77.60713955,78.0500128,87642800,79.4948383335,75.1467508511087,52.53396097046162,106.4133115463078,52.57636512069221
2020-02-07,88.60105133,90.14867187,88.48669056,89.51113286,114041600,78.23080253500001,76.42811280147932,60.27814777948146,100.2851681460784,56.176436923921614
2020-02-09,128.1279602,134.5441113,123.837532,134.1638234,200119000,78.64367218,81.35190779181461,77.2026675129044,104.03668223517231,53.250662124827684
2020-02-10,110.2056427,112.4971304,109.4255683,110.0788826,144712000,80.31708259550001,84.09988254497512,64.82400079010117,109.33374478017967,51.30042041082035
2020-02-11,106.0614853,107.9239274,104.6475951,106.3930227,122866900,81.8350971225,86.19146375973939,62.396949793405085,112.93670391339047,50.73349033160953
2020-02-12,120.2222214,120.5054888,118.0830683,119.1868283,89004200,84.077368547,89.43248829690707,66.60015806670575,119.39853629548665,48.75620079851336
2020-02-13,78.83912659,79.16674472,78.47025717,78.67410664,94747600,84.2032741565,88.42359670577306,51.19477119891249,119.42584269161247,48.98070562138753
2020-02-14,78.85855865,79.10851777,78.34893118,78.80759072,80113600,84.287904741,87.51264070046133,50.58210909350693,119.44735537008023,49.12845411191978
2020-02-18,77.41460419,77.59661344,76.34923978,76.53124904,152531200,84.3264850635,86.55092293756026,49.667494766900425,119.45229200802359,49.20067811897641
2020-02-19,78.53578186,78.76632989,77.65728501,77.65728501,93984000,84.4074443835,85.78757616826881,50.03736645471112,119.46874612943844,49.34614263756156
2020-02-20,77.73010254,78.78575797,77.22290418,78.29554892,100566000,84.429599001,85.0201977274813,50.84643923407103,119.47251156626024,49.386686435739755
2020-02-21,75.97067261,77.76650348,75.351844,77.32239667,129554000,84.37491989349999,84.15833819248309,50.98788979034913,119.46959640934853,49.280243377651466
2020-02-24,72.36203766,73.81811196,70.1900646,72.13877708,222195200,84.253112795,83.03488099891327,49.954534309429526,119.50430512994839,49.00192046005163
2020-02-25,69.91098022,73.4176956,69.4377605,73.03426594,230673600,83.902953722,81.7849856866358,53.32414656999102,119.59743361579685,48.20847382820317
2020-02-26,71.02000427,72.28921804,69.52752998,69.53481005,198054800,83.5277462025,80.75974936124192,47.25195671555618,119.61588040723709,47.43961199776291
2020-02-27,66.37757111,69.40620832,66.24167143,68.21708245,320605600,82.92610779,79.39001809921888,41.7137190827493,119.76681774265577,46.085397837344225
2020-02-28,66.33872986,67.56426329,62.2156159,62.43160377,426510000,82.496356966,78.14703826691232,17.345285980594554,119.92544675415178,45.067267177848215
2020-03-01,72.00913239,72.77176001,71.783977,71.94134343,146322800,82.461010363,77.56247580244448,26.81070160671726,119.93030274803476,44.99171797796523
2020-03-02,74.72796631,75.89732764,73.16881294,73.67238698,173788400,82.57166252350001,77.29252251744977,30.64224550982395,119.93018957574219,45.21313547125782
2020-03-03,70.2118988,73.77442519,69.35766388,73.69434437,319475600,83.11028900350001,76.61817740150217,14.92377513616232,119.35867547033955,46.86190253666048
2020-03-04,58.58514404,59.62623543,57.99300663,58.92246774,129880000,82.1055336015,74.90074565278768,25.616250564510338,119.94983531221322,44.26123189078677
2020-03-06,79.11338043,79.37618741,78.42717129,79.00144798,104491200,81.63115005649999,75.30194896490315,50.20536719377279,119.3703339428861,43.89196617011387
2020-03-08,106.0336456,108.6616711,105.0165031,105.3158016,308151200,80.5264343265,78.22877721586475,66.35059152482714,113.53134305327283,47.521525599727156
2020-03-09,117.8699417,125.6317274,117.4994068,123.7497938,257599600,80.9096492765,82.00412621435383,70.02106099149537,115.50515874967729,46.31413980332271
2020-03-11,107.6899033,108.7137524,106.0224854,106.9293275,107624400,80.9910701765,84.45039069870109,63.921023410235975,115.84254034881945,46.139600004180544
2020-03-12,120.0854721,120.9059647,119.3724186,120.6519995,78967600,80.9842327115,87.84420797501527,68.6543825154256,115.8033343141785,46.165131108821505
2020-03-13,67.45748138,67.93070839,61.38565182,64.28324335,370732000,80.415150451,85.9026149659662,48.533868468201,115.75009260808403,45.08020829391597
2020-03-16,58.77928925,62.87327958,58.24296696,58.71619033,322423600,79.411186981,83.31944108825513,46.791815473585935,116.04933164444678,42.77304231755322
2020-03-17,61.36381149,62.51653303,57.85467156,60.06547737,324056000,78.608647346,81.22842874556417,47.240527100816465,116.12361231160516,41.09368238039484
