Date,Close,High,Low,Open,Volume
30-03-20,153.3687286,153.7228947,143.5863618,145.9123135,63420300
31-03-20,150.9566498,157.7238952,149.8558856,152.5742694,77927200
01-04-20,145.5964508,150.994938,144.3616967,146.4483393,57969900
02-04-20,148.611557,148.8221375,143.9213873,145.3571553,49630700
03-04-20,147.2427826,150.6407695,145.6730103,148.4584035,41243300
06-04-20,158.1929321,159.3702579,150.8322254,153.4549004,67111700
07-04-20,156.4891357,162.7203632,156.2689741,162.3279165,62769000
08-04-20,158.05896,159.5330091,156.4987536,158.5758302,48318200
09-04-20,158.0684967,160.2030012,156.3360055,159.2362559,51385100
13-04-20,158.4226837,158.4801267,155.3501474,157.3123672,41905300
14-04-20,166.2619324,166.3097942,160.8060169,161.7631955,52874300
15-04-20,164.5198517,166.1374857,161.9929009,163.8689627,40940800
16-04-20,169.4588928,169.6886209,165.496174,166.8362328,50479600
17-04-20,170.9521484,172.292193,168.3390397,171.8136036,52765600
20-04-20,167.5636902,171.0956817,167.4966953,169.0664677,36669600
21-04-20,160.633728,166.2332144,158.9969461,166.0704957,56203700
22-04-20,166.0896912,166.549133,163.505311,164.0508954,34620200
23-04-20,164.0796051,167.5637357,163.5914491,166.6544187,32790800
24-04-20,167.0755615,167.0851281,163.3999985,164.6921811,34277600
27-04-20,166.5969391,169.3248893,165.8790551,169.0281663,33194400
28-04-20,162.5385132,168.147581,162.1364999,168.0710049,34392700
29-04-20,169.8322144,170.071509,164.5198841,165.8025001,51286600
30-04-20,171.5359802,172.6750105,168.6835775,172.2921449,53875900
01-05-20,167.0947113,170.9904215,166.5586789,168.2720371,39370500
04-05-20,171.1818237,171.3349758,166.3576498,167.0181054,30372900
05-05-20,173.0196381,175.7858843,172.1964637,172.8856336,36839200
06-05-20,174.7233887,176.3123088,173.8523672,174.2830947,32139300
07-05-20,175.7380219,176.6473387,174.7616954,176.2836061,28316000
08-05-20,176.7717743,177.0780785,175.5083059,177.0589309,30877800
11-05-20,178.743576,179.4805932,175.0201511,175.307293,30892700
12-05-20,174.6946716,179.0306898,174.4936723,178.8009763,32038200
13-05-20,172.0528564,176.1687274,168.9803067,174.7329595,44711500
14-05-20,172.7994843,172.9526364,168.1571613,169.9375144,41873900
15-05-20,175.3168945,179.0498865,169.4206689,171.3924551,46610400
18-05-20,176.9919128,178.2266669,176.082596,177.7959394,35264500
19-05-20,175.7666931,178.6095144,175.6326887,177.1067372,26799100
20-05-20,178.2047272,178.3871,176.5537935,177.3888535,31261300
21-05-20,176.0643005,179.1742025,175.9299229,177.9551957,29119500
22-05-20,176.1410675,177.0529315,175.2100171,175.8339249,20826900
26-05-20,174.2789764,179.0110029,173.8278483,178.8574243,36073600
27-05-20,174.5093384,174.682118,169.5085564,172.963988,39517100
28-05-20,174.1157837,176.755356,173.1367529,173.4822975,33810200
29-05-20,175.8915253,176.8705709,173.1655701,175.392402,42130400
01-06-20,175.4883881,175.6515599,174.1734057,175.2100249,22622400
02-06-20,177.4848175,177.5712,174.0677741,176.8513167,30794600
03-06-20,177.916748,178.4734595,176.2082263,177.3984385,27311000
04-06-20,175.5747681,178.3775125,174.9796691,176.8993583,28761800
05-06-20,179.6829071,180.1916236,174.7013113,175.2868171,39893600
08-06-20,180.7962952,180.9786679,177.0337068,178.4734734,33211600
09-06-20,182.1784973,183.0423515,179.740484,180.4507742,29783900
10-06-20,188.935791,190.5483374,183.3398957,183.455087,43872300
11-06-20,178.7902679,187.8991843,178.5983019,185.3748029,52854700
